issue,time,title,type,url,weekday
FOREIGN POLICY,"Apr 10, 2018",Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of The United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-theresa-may-united-kingdom-9/,Tuesday
FOREIGN POLICY,"Apr 10, 2018",Statement from Vice President Mike Pence’s Deputy Chief of Staff and Communications Director Jarrod Agen,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-vice-president-mike-pences-deputy-chief-staff-communications-director-jarrod-agen/,Tuesday
NATIONAL SECURITY & DEFENSE,"Apr 9, 2018",Readout of President Donald J. Trump’s Meeting with Defense and Military Leaders,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-defense-military-leaders/,Monday
FOREIGN POLICY,"Apr 9, 2018",Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-emmanuel-macron-france-14/,Monday
NATIONAL SECURITY & DEFENSE,"Apr 9, 2018",Remarks by President Trump Before Meeting with Senior Military Leadership,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-senior-military-leadership/,Monday
not found,"Apr 9, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-040918/,Monday
ECONOMY & JOBS,"Apr 9, 2018",Peter Navarro: “Donald Trump Is Standing Up For American Interests”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/peter-navarro-donald-trump-standing-american-interests/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Apr 9, 2018",President Donald J. Trump Presides Over the Signing of One Federal Decision Memorandum of Understanding for Major Infrastructure Projects,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-presides-signing-one-federal-decision-memorandum-understanding-major-infrastructure-projects/,Monday
IMMIGRATION,"Apr 9, 2018",What You Need To Know About President Donald J. Trump’s Efforts To End Catch And Release,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-president-donald-j-trumps-efforts-end-catch-release/,Monday
FOREIGN POLICY,"Apr 9, 2018",Remarks by President Trump at Cabinet Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-cabinet-meeting-7/,Monday
HEALTHCARE,"Apr 9, 2018",President Donald J. Trump’s Administration Is Working Every Day To Help Bring An End To The Opioid Crisis,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-administration-working-every-day-help-bring-end-opioid-crisis/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Apr 9, 2018",President Donald J. Trump’s Administration Is Improving Inefficient Permitting Reviews,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-administration-improving-inefficient-permitting-reviews/,Monday
FOREIGN POLICY,"Apr 8, 2018",Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-emmanuel-macron-france-13/,Sunday
FOREIGN POLICY,"Apr 8, 2018",Readout of President Donald J. Trump’s Call with Prime Minister Haider Al-Abadi of Iraq,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-haider-al-abadi-iraq-2/,Sunday
FOREIGN POLICY,"Apr 7, 2018",Statement from the Press Secretary Regarding the Attack in Germany,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-attack-germany/,Saturday
FOREIGN POLICY,"Apr 7, 2018",Statement by President Donald J. Trump on Lebanon,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-lebanon/,Saturday
FOREIGN POLICY,"Apr 6, 2018",Statement by the Press Secretary on the Actions Taken by Panama Against the Maduro Regime,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-actions-taken-panama-maduro-regime/,Friday
FOREIGN POLICY,"Apr 6, 2018",Readout of President Donald J. Trump’s Call with Crown Prince Mohammed Bin Zayed of the United Arab Emirates,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-crown-prince-mohammed-bin-zayed-united-arab-emirates/,Friday
IMMIGRATION,"Apr 6, 2018",Statement from the Press Secretary Regarding “Catch and Release”,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-catch-release/,Friday
NATIONAL SECURITY & DEFENSE,"Apr 6, 2018",Statement by Lieutenant General H.R McMaster,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-lieutenant-general-h-r-mcmaster/,Friday
not found,"Apr 6, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-by-press-secretary-sarah-sanders-040618/,Friday
not found,"Apr 6, 2018",Photos of the Week,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/photos-of-the-week-040618/,Friday
not found,"Apr 6, 2018",Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-26/,Friday
INFRASTRUCTURE & TECHNOLOGY,"Apr 6, 2018",Govs. John Bel Edwards (D-LA) and Phil Bryant (R-MS): “Trump’s Infrastructure Plan Marks Progress”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/govs-john-bel-edwards-d-la-phil-bryant-r-ms-trumps-infrastructure-plan-marks-progress/,Friday
ECONOMY & JOBS,"Apr 6, 2018",America Is Open For Business,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/america-open-business/,Friday
FOREIGN POLICY,"Apr 6, 2018",President Donald J. Trump Is Standing Up To Russia’s Malign Activities,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-standing-russias-malign-activities/,Friday
ECONOMY & JOBS,"Apr 6, 2018",What You Need To Know About President Donald J. Trump’s Actions Responding To China’s Unfair Trade Practices,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-president-donald-j-trumps-actions-responding-chinas-unfair-trade-practices/,Friday
BUDGET & SPENDING,"Apr 5, 2018",Remarks by President Trump at a Roundtable Discussion on Tax Reform,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-tax-reform/,Thursday
ECONOMY & JOBS,"Apr 5, 2018",Statement from President Donald J. Trump on Additional Proposed Section 301 Remedies,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-additional-proposed-section-301-remedies/,Thursday
not found,"Apr 5, 2018","Remarks by President Trump in Press Gaggle en route Washington, D.C.",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-press-gaggle-en-route-washington-d-c/,Thursday
FOREIGN POLICY,"Apr 5, 2018",Statement From the Press Secretary on the Visit of Emir Tamim Bin Hamad Al Thani of Qatar,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-emir-tamim-bin-hamad-al-thani-qatar/,Thursday
not found,"Apr 5, 2018",Press Gaggle by Deputy Press Secretary Hogan Gidley,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-deputy-press-secretary-hogan-gidley-040518/,Thursday
ECONOMY & JOBS,"Apr 5, 2018",President Donald J. Trump’s Leadership on the Economy is Making A Difference For All Americans,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-leadership-economy-making-difference-americans/,Thursday
BUDGET & SPENDING,"Apr 5, 2018",Tax Reform Is Paying Off for Workers and Businesses in West Virginia and Around the Country,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/tax-reform-paying-off-workers-businesses-west-virginia-around-country/,Thursday
IMMIGRATION,"Apr 4, 2018",What You Need to Know About the President’s Authorization for the National Guard to Deploy to the Southern Border,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-presidents-authorization-national-guard-deploy-southern-border/,Wednesday
not found,"Apr 4, 2018",Press Briefing by Press Secretary Sarah Sanders and Department of Homeland Security Secretary Kirstjen Nielsen,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-by-press-secretary-sarah-sanders-and-department-of-homeland-security-secretary-kirstjen-nielsen-040418/,Wednesday
FOREIGN POLICY,"Apr 4, 2018","Statement by the Press Secretary on the Anniversary of the April 4, 2017 Chemical Weapons Attack on Khan Shaykhun",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-anniversary-april-4-2017-chemical-weapons-attack-khan-shaykhun/,Wednesday
not found,"Apr 4, 2018",President Donald J. Trump Signs H.R. 4851 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-4851-law/,Wednesday
not found,"Apr 4, 2018","President Donald J. Trump Signs H.R. 3731, S. 2030, and S. 2040 into Law",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-3731-s-2030-s-2040-law/,Wednesday
IMMIGRATION,"Apr 4, 2018",What You Need To Know About Loopholes Allowing Unaccompanied Alien Children To Stay In The Country,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-loopholes-allowing-unaccompanied-alien-children-stay-country/,Wednesday
FOREIGN POLICY,"Apr 4, 2018",Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-25/,Wednesday
FOREIGN POLICY,"Apr 4, 2018",Statement by the Press Secretary on Syria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-syria/,Wednesday
FOREIGN POLICY,"Apr 4, 2018",Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-emmanuel-macron-france-12/,Wednesday
FOREIGN POLICY,"Apr 4, 2018",Statement by the Press Secretary on the Houthi Commercial Maritime Attack,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-houthi-commercial-maritime-attack/,Wednesday
FOREIGN POLICY,"Apr 4, 2018",Readout of President Donald J. Trump’s Call with Prime Minister Benjamin Netanyahu of Israel,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-benjamin-netanyahu-israel/,Wednesday
FOREIGN POLICY,"Apr 4, 2018","A Declaration to Celebrate 100 Years of Independence of Estonia, Latvia and Lithuania and Renewed Partnership",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/declaration-celebrate-100-years-independence-estonia-latvia-lithuania-renewed-partnership/,Wednesday
FOREIGN POLICY,"Apr 3, 2018",Remarks by LTG H.R. McMaster at Atlantic Council Baltic Summit Dinner,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-ltg-h-r-mcmaster-atlantic-council-baltic-summit-dinner/,Tuesday
FOREIGN POLICY,"Apr 3, 2018",Remarks by President Trump and Heads of the Baltic States in Joint Press Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-heads-baltic-states-joint-press-conference/,Tuesday
FOREIGN POLICY,"Apr 3, 2018",Remarks by President Trump Before a Working Lunch with Heads of the Baltic States,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-working-lunch-heads-baltic-states/,Tuesday
FOREIGN POLICY,"Apr 3, 2018",Readout of President Donald J. Trump’s Call with King Salman of Saudi Arabia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-king-salman-saudi-arabia-4/,Tuesday
FOREIGN POLICY,"Apr 3, 2018",Readout of President Donald J. Trump’s Call with Emir Tamim Bin Hamad Al Thani of Qatar,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-emir-tamim-bin-hamad-al-thani-qatar-3/,Tuesday
FOREIGN POLICY,"Apr 3, 2018","President Donald J. Trump’s Support for Estonia, Latvia, and Lithuania",FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-support-estonia-latvia-lithuania/,Tuesday
FOREIGN POLICY,"Apr 2, 2018",Statement by the Press Secretary on the Extradition of Yevgeniy Aleksandrovich Nikulin,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-extradition-yevgeniy-aleksandrovich-nikulin/,Monday
not found,"Apr 2, 2018",White House Easter Egg Roll 2018,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-easter-egg-roll-2018/,Monday
ECONOMY & JOBS,"Apr 2, 2018",Readout of President Trump’s Meeting with Larry Kudlow and Senior Staff of the National Economic Council,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-trumps-meeting-larry-kudlow-senior-staff-national-economic-council/,Monday
IMMIGRATION,"Apr 2, 2018",What You Need to Know About Catch and Release,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-catch-release/,Monday
FOREIGN POLICY,"Apr 2, 2018",Readout of President Donald J. Trump’s Call with President Abdel Fattah Al Sisi of Egypt,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-abdel-fattah-al-sisi-egypt-5/,Monday
not found,"Apr 2, 2018",Remarks by President Trump at the 2018 White House Easter Egg Roll,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-white-house-easter-egg-roll/,Monday
FOREIGN POLICY,"Apr 2, 2018",Statement from the Press Secretary on President Donald J. Trump’s Upcoming Meeting with Japanese Prime Minister Shinzo Abe of Japan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-president-donald-j-trumps-upcoming-meeting-japanese-prime-minister-shinzo-abe-japan/,Monday
IMMIGRATION,"Apr 1, 2018",Remarks by President Trump Before Easter Church Service,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-easter-church-service/,Sunday
IMMIGRATION,"Mar 31, 2018",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-28/,Saturday
